datetime,product_id,store_id,customer_id,qty,price,promotion_id,po_id
2025-01-01 14:19:00,P0007,S01,C00394,3,34.13,,PO000179
2025-01-01 12:07:00,P0003,S01,C00407,3,79.05,,PO000207
2025-01-01 13:12:00,P0029,S01,C00039,1,46.11,,PO000137
2025-01-01 20:55:00,P0032,S01,C00166,3,59.46,,PO000211
2025-01-01 17:45:00,P0023,S01,C00031,1,93.47,,PO000063
2025-01-01 12:43:00,P0032,S01,C00266,1,59.46,,PO000193
2025-01-01 14:30:00,P0048,S01,C00343,1,84.92,,PO000036
2025-01-01 17:39:00,P0031,S01,C00089,4,16.64,,PO000030
2025-01-01 20:25:00,P0017,S01,C00337,3,91.36,,PO000034
2025-01-01 10:38:00,P0027,S01,C00048,6,78.74,,PO000080
2025-01-01 11:16:00,P0004,S01,C00488,1,102.49,,PO000135
2025-01-01 13:31:00,P0013,S02,C00039,3,103.44,,PO000140
2025-01-01 10:02:00,P0038,S02,C00120,1,97.97,,PO000188
2025-01-01 19:11:00,P0028,S02,C00394,8,43.98,,PO000194
2025-01-01 15:19:00,P0049,S02,C00287,4,77.09,,PO000185
2025-01-01 10:57:00,P0039,S02,C00385,7,78.63,,PO000151
2025-01-01 10:01:00,P0008,S02,C00473,7,94.31,,PO000174
2025-01-01 14:42:00,P0018,S02,C00238,3,49.29,,PO000240
2025-01-01 18:52:00,P0021,S02,C00180,4,115.92,,PO000204
2025-01-01 14:44:00,P0023,S02,C00288,7,93.47,,PO000063
2025-01-01 16:32:00,P0014,S02,C00103,6,62.22,,PO000073
2025-01-01 12:50:00,P0032,S02,C00200,7,59.46,,PO000046
2025-01-01 16:05:00,P0011,S02,C00359,3,74.61,,PO000104
2025-01-01 15:35:00,P0019,S02,C00058,8,74.9,,PO000246
2025-01-01 19:11:00,P0046,S02,C00304,5,53.94,,PO000103
2025-01-01 11:53:00,P0008,S02,C00290,8,94.31,,PO000081
2025-01-01 19:43:00,P0042,S02,C00163,7,111.07,,PO000195
2025-01-01 12:14:00,P0026,S02,C00481,13,116.35,,PO000177
2025-01-01 15:20:00,P0046,S02,C00452,7,53.94,,PO000103
2025-01-01 10:52:00,P0028,S02,C00192,7,43.98,,PO000051
2025-01-01 15:11:00,P0037,S02,C00030,6,89.69,,PO000087
2025-01-01 17:54:00,P0039,S02,C00052,10,78.63,,PO000031
2025-01-01 15:53:00,P0022,S02,C00321,1,103.68,,PO000019
2025-01-01 19:45:00,P0042,S02,C00337,8,111.07,,PO000224
2025-01-01 17:24:00,P0014,S02,C00470,7,62.22,,PO000061
2025-01-01 15:13:00,P0034,S02,C00146,4,45.82,,PO000130
2025-01-01 20:43:00,P0014,S02,C00019,2,62.22,,PO000184
2025-01-01 13:57:00,P0035,S02,C00288,9,16.48,,PO000237
2025-01-01 11:44:00,P0016,S03,C00429,1,112.3,,PO000225
2025-01-01 12:38:00,P0002,S03,C00280,1,86.74,,PO000154
2025-01-01 19:41:00,P0045,S03,C00364,1,25.02,,PO000077
2025-01-01 17:42:00,P0016,S03,C00221,3,112.3,,PO000126
2025-01-01 19:45:00,P0045,S03,C00440,1,25.02,,PO000077
2025-01-02 12:58:00,P0006,S01,C00212,4,56.06,,PO000173
2025-01-02 18:34:00,P0003,S01,C00416,5,79.05,,PO000060
2025-01-02 14:41:00,P0022,S01,C00150,1,103.68,,PO000108
2025-01-02 19:04:00,P0003,S01,C00202,5,79.05,,PO000207
2025-01-02 14:09:00,P0047,S01,C00248,3,85.23,,PO000210
2025-01-02 13:09:00,P0014,S01,C00355,4,62.22,,PO000089
2025-01-02 11:15:00,P0021,S02,C00466,5,115.92,,PO000204
2025-01-02 11:41:00,P0049,S02,C00491,4,77.09,,PO000229
2025-01-02 15:07:00,P0012,S02,C00411,3,18.29,,PO000250
2025-01-02 12:35:00,P0007,S02,C00063,5,34.13,,PO000251
2025-01-02 16:36:00,P0021,S02,C00118,2,115.92,,PO000013
2025-01-02 15:12:00,P0030,S02,C00431,6,32.35,,PO000086
2025-01-02 18:29:00,P0042,S02,C00146,7,111.07,,PO000224
2025-01-02 11:18:00,P0045,S02,C00329,6,25.02,,PO000077
2025-01-02 17:03:00,P0038,S02,C00441,1,97.97,,PO000188
2025-01-02 12:33:00,P0050,S02,C00442,3,43.85,,PO000238
2025-01-02 20:29:00,P0013,S02,C00135,1,103.44,,PO000140
2025-01-02 15:03:00,P0031,S02,C00129,13,16.64,,PO000136
2025-01-02 16:03:00,P0007,S02,C00106,6,34.13,,PO000052
